date,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,btc_dominance,eth_dominance,alt_dominance,fear_greed,FearGreed_Label,inflation,btc_mcap,eth_mcap,fed_rate
2018-11-27,3765.949951171875,3862.9599609375,3661.010009765625,3820.719970703125,5998720000.0,107.91300201416016,111.84200286865234,102.4520034790039,110.01000213623048,2320010000.0,0.5317819301591112,0.0903747928157438,0.3778432770251448,11.0,Extreme Fear,2.147328577667773,66796155268.6834,11351812370.701126,2.2
2018-11-28,3822.469970703125,4385.89990234375,3822.469970703125,4257.419921875,7280280000.0,110.197998046875,126.0479965209961,110.197998046875,122.43800354003906,2673470000.0,0.5189170132932235,0.088863508914511,0.3922194777922654,14.0,Extreme Fear,2.147328577667773,66811830848.48212,11441393467.752829,2.2
2018-11-29,4269.00439453125,4413.0205078125,4145.76513671875,4278.8466796875,6503347767.0,122.72154998779295,123.22972106933594,115.29769134521484,117.54264831542967,2196099151.0,0.5314906770156335,0.0904594619706815,0.378049861013685,18.0,Extreme Fear,2.147328577667773,74381953561.03812,12659773332.697258,2.2
2018-11-30,4289.0888671875,4322.9765625,3942.822021484375,4017.2685546875,6048016717.0,117.72809600830078,119.42376708984376,111.74496459960938,113.17141723632812,2020748396.0,0.5298308758694392,0.0867529533720486,0.3834161707585121,19.0,Extreme Fear,2.147328577667773,74400715839.6163,12182154959.33421,2.2
2018-12-01,4024.46435546875,4309.37744140625,3969.710693359375,4214.671875,5375314093.0,113.39775848388672,120.8414535522461,111.61912536621094,118.63555908203124,2131475768.0,0.5284197364964514,0.0887436957845737,0.3828365677189749,13.0,Extreme Fear,2.0023809043401064,69715049461.01839,11708062196.90978,2.27
2018-12-02,4200.7333984375,4301.51953125,4110.978515625,4139.8779296875,5262697895.0,118.26815032958984,120.56204986572266,116.092041015625,116.38890075683594,1856199149.0,0.5316742782421032,0.0891822941446741,0.3791434276132226,15.0,Extreme Fear,2.0023809043401064,73075855208.30002,12257640966.96176,2.27
2018-12-03,4147.32373046875,4155.9794921875,3840.4462890625,3894.130859375,5089570994.0,116.3787612915039,116.61906433105467,107.41565704345705,108.92501831054688,1772756193.0,0.5322270346496394,0.0889600209866066,0.3788129443637539,17.0,Extreme Fear,2.0023809043401064,71784475615.70909,11998542053.561508,2.27
2018-12-04,3886.294921875,4075.627685546875,3832.75,3956.893798828125,5028069239.0,108.80316162109376,113.14291381835938,107.40271759033205,110.21418762207033,1748116495.0,0.5298932814171143,0.0883524248984977,0.3817542936843879,12.0,Extreme Fear,2.0023809043401064,67489136960.41757,11252886409.15223,2.27
2018-12-05,3958.894775390625,3969.535888671875,3753.994873046875,3753.994873046875,5302481574.0,110.33551788330078,110.5986099243164,102.47555541992188,102.47555541992188,1990157607.0,0.5329791356831768,0.0883395703597254,0.3786812939570977,19.0,Extreme Fear,2.0023809043401064,68592152288.35375,11368927707.526571,2.27
2018-12-06,3754.074462890625,3874.966064453125,3521.101806640625,3521.101806640625,5878333109.0,102.45059204101562,104.1034927368164,91.76105499267578,91.76105499267578,2310716932.0,0.536360975788615,0.0872094455548708,0.3764295786565142,13.0,Extreme Fear,2.0023809043401064,65355774058.35723,10626501697.030668,2.27
2018-12-07,3512.59033203125,3512.59033203125,3280.228759765625,3419.937255859375,6835615448.0,91.64983367919922,96.08984375,83.46971893310547,93.29456329345705,2554304530.0,0.5420972821075208,0.0845286439081167,0.3733740739843624,11.0,Extreme Fear,2.0023809043401064,60357918912.00456,9411545128.787205,2.27
2018-12-08,3421.910400390625,3506.04345703125,3350.650634765625,3476.11474609375,5305024497.0,93.41007995605467,97.05988311767578,86.82566833496094,92.15963745117188,1855759401.0,0.5399763165453457,0.0874403183291561,0.3725833651254981,11.0,Extreme Fear,2.0023809043401064,59348913269.87663,9610584223.413237,2.27
2018-12-09,3473.2275390625,3685.3056640625,3469.09423828125,3614.234375,4947372847.0,92.03543090820312,98.90003204345705,91.03128051757812,95.14205932617188,1875567180.0,0.5407149610897091,0.0857281985614025,0.3735568403488884,14.0,Extreme Fear,2.0023809043401064,59526617773.597786,9437707619.370005,2.27
