date,precio,vol_30d,cum_ret_60d,dist_sma200,drawdown,fg,cluster_km,estado_hmm,estado_hmm_causal
2024-11-07,2895.58544921875,3.527099874484991,25.81510489073836,-2.0715278158887296,-39.826831744401794,77.0,2,2,1
2024-11-08,2962.296630859375,3.473836283045705,25.45546229364252,0.22520516829158677,-38.44050651664027,75.0,2,2,1
2024-11-09,3131.14453125,3.5865961151438444,29.836763692789575,5.953850727344823,-34.93167788837416,75.0,2,2,1
2024-11-10,3191.331298828125,3.583571885147477,33.840476315483386,7.981078846990108,-33.680936525097785,78.0,2,2,1
2024-11-11,3374.81298828125,3.687335544846408,38.65217573796559,14.147161717639833,-29.868003090768237,76.0,1,2,1
2024-11-12,3246.25732421875,3.7869199140739074,31.463025797625754,9.777437901521303,-32.53951865800183,80.0,1,2,1
2024-11-13,3192.595947265625,3.6664062142241725,30.752475332425888,7.973667537084306,-33.65465586284538,84.0,1,2,1
2024-11-14,3058.94873046875,3.7644462590606054,30.605785598741555,3.4893852993894914,-36.43197899982293,88.0,1,2,1
2024-11-15,3103.04052734375,3.766673783515283,33.150793658990416,5.0010472364242275,-35.51570726183404,80.0,2,2,1
2024-11-16,3133.27392578125,3.763187603111304,32.10252357763929,6.002389945709541,-34.88742693544648,86.0,1,2,1
2024-11-17,3075.66162109375,3.788099839124222,29.06718254788564,4.034664723452397,-36.08466837913762,90.0,1,2,1
2024-11-18,3207.8564453125,3.8477939426735173,29.35540049010662,8.465871929660839,-33.33752741585495,83.0,1,2,1
2024-11-19,3111.384033203125,3.8632400804520306,22.44013035220491,5.202496929957734,-35.3423208462982,90.0,1,2,1
2024-11-20,3072.18798828125,3.823925185960793,19.041218613055765,3.885166991502609,-36.156853951054046,83.0,2,2,1
2024-11-21,3361.053955078125,4.124628584794491,29.705163687994066,13.610098376343416,-30.153929593192597,82.0,1,2,1
2024-11-22,3331.600830078125,4.02420412051839,26.28579384180638,12.563374998495092,-30.765995055379648,94.0,1,2,1
2024-11-23,3396.223388671875,4.027660221118554,28.00616623554264,14.671268518691827,-29.423073508229958,93.0,1,2,1
